[2026-09-03 13:05:05.084] [info] This file will contain all warnings and errors of the analysis
[2026-09-03 13:07:30.691] [warning] Layer 1 X:\Projects\bird_flu_surveillance\species\1011_Fregata_andrewsi.tif value range is zero, removing from analysis
[2026-09-03 13:07:30.691] [warning] Layer 6 X:\Projects\bird_flu_surveillance\species\1017_Pelecanoides_georgicus.tif value range is zero, removing from analysis
[2026-09-03 13:07:30.691] [warning] Layer 8 X:\Projects\bird_flu_surveillance\species\1020_Morus_serrator.tif value range is zero, removing from analysis
[2026-09-03 13:07:30.691] [warning] Layer 13 X:\Projects\bird_flu_surveillance\species\1034_Oceanites_oceanicus.tif value range is zero, removing from analysis
[2026-09-03 13:07:30.691] [warning] Layer 18 X:\Projects\bird_flu_surveillance\species\1047_Procellaria_cinerea.tif value range is zero, removing from analysis
[2026-09-03 13:07:30.691] [warning] Layer 19 X:\Projects\bird_flu_surveillance\species\1055_Pterodroma_lessonii.tif value range is zero, removing from analysis
[2026-09-03 13:07:30.691] [warning] Layer 20 X:\Projects\bird_flu_surveillance\species\1057_Daption_capense.tif value range is zero, removing from analysis
[2026-09-03 13:07:30.691] [warning] Layer 21 X:\Projects\bird_flu_surveillance\species\1059_Halobaena_caerulea.tif value range is zero, removing from analysis
[2026-09-03 13:07:30.691] [warning] Layer 24 X:\Projects\bird_flu_surveillance\species\1063_Pachyptila_crassirostris.tif value range is zero, removing from analysis
[2026-09-03 13:07:30.691] [warning] Layer 25 X:\Projects\bird_flu_surveillance\species\1064_Pachyptila_desolata.tif value range is zero, removing from analysis
[2026-09-03 13:07:30.691] [warning] Layer 28 X:\Projects\bird_flu_surveillance\species\1076_Phoebetria_palpebrata.tif value range is zero, removing from analysis
[2026-09-03 13:07:30.691] [warning] Layer 30 X:\Projects\bird_flu_surveillance\species\1079_Aptenodytes_patagonicus.tif value range is zero, removing from analysis
[2026-09-03 13:07:30.691] [warning] Layer 32 X:\Projects\bird_flu_surveillance\species\1080_Eudyptes_chrysocome.tif value range is zero, removing from analysis
[2026-09-03 13:07:30.691] [warning] Layer 34 X:\Projects\bird_flu_surveillance\species\1087_Pygoscelis_antarcticus.tif value range is zero, removing from analysis
