"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 1735599 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 1735426 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00020 1735253 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00030 1735080 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.00040 1734907 0.0 1.0000 1.0000 0.9995 1.0000 1.0000 1.0000 0.9995
0.00050 1734734 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.00060 1734561 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.00070 1734388 0.0 1.0000 1.0000 0.9991 1.0000 1.0000 1.0000 0.9991
0.00080 1734215 0.0 1.0000 1.0000 0.9990 1.0000 1.0000 1.0000 0.9990
0.00090 1734042 0.0 1.0000 1.0000 0.9989 1.0000 1.0000 1.0000 0.9989
0.00100 1733869 0.0 1.0000 1.0000 0.9988 1.0000 1.0000 1.0000 0.9988
0.00110 1733696 0.0 1.0000 1.0000 0.9986 1.0000 1.0000 1.0000 0.9986
0.00120 1733523 0.0 1.0000 1.0000 0.9985 1.0000 1.0000 1.0000 0.9985
0.00130 1733350 0.0 1.0000 1.0000 0.9984 1.0000 1.0000 1.0000 0.9984
0.00140 1733177 0.0 1.0000 1.0000 0.9983 1.0000 1.0000 1.0000 0.9983
0.00150 1733004 0.0 1.0000 1.0000 0.9982 1.0000 1.0000 1.0000 0.9982
0.00159 1732831 0.0 1.0000 1.0000 0.9980 1.0000 1.0000 1.0000 0.9980
0.00169 1732658 0.0 1.0000 1.0000 0.9979 1.0000 1.0000 1.0000 0.9979
0.00179 1732485 0.0 1.0000 1.0000 0.9978 1.0000 1.0000 1.0000 0.9978
0.00189 1732312 0.0 1.0000 1.0000 0.9977 1.0000 1.0000 1.0000 0.9977
0.00199 1732139 0.0 1.0000 1.0000 0.9975 1.0000 1.0000 1.0000 0.9975
0.00209 1731966 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00219 1731793 0.0 1.0000 1.0000 0.9973 1.0000 1.0000 1.0000 0.9973
0.00229 1731620 0.0 1.0000 1.0000 0.9972 1.0000 1.0000 1.0000 0.9972
0.00239 1731447 0.0 1.0000 1.0000 0.9970 1.0000 1.0000 1.0000 0.9970
0.00249 1731274 0.0 1.0000 1.0000 0.9969 1.0000 1.0000 1.0000 0.9969
0.00259 1731101 0.0 1.0000 1.0000 0.9968 1.0000 1.0000 1.0000 0.9968
0.00269 1730928 0.0 1.0000 1.0000 0.9967 1.0000 1.0000 1.0000 0.9967
0.00279 1730755 0.0 1.0000 1.0000 0.9966 1.0000 1.0000 1.0000 0.9966
0.00289 1730582 0.0 1.0000 1.0000 0.9964 1.0000 1.0000 1.0000 0.9964
0.00299 1730409 0.0 1.0000 1.0000 0.9963 1.0000 1.0000 1.0000 0.9963
0.00309 1730236 0.0 1.0000 1.0000 0.9962 1.0000 1.0000 1.0000 0.9962
0.00319 1730063 0.0 1.0000 1.0000 0.9961 1.0000 1.0000 1.0000 0.9961
0.00329 1729890 0.0 1.0000 1.0000 0.9959 1.0000 1.0000 1.0000 0.9959
0.00339 1729717 0.0 1.0000 1.0000 0.9958 1.0000 1.0000 1.0000 0.9958
0.00349 1729544 0.0 1.0000 1.0000 0.9957 1.0000 1.0000 1.0000 0.9957
0.00359 1729371 0.0 1.0000 1.0000 0.9956 1.0000 1.0000 1.0000 0.9956
0.00369 1729198 0.0 1.0000 1.0000 0.9954 1.0000 1.0000 1.0000 0.9954
0.00379 1729025 0.0 1.0000 1.0000 0.9953 1.0000 1.0000 1.0000 0.9953
0.00389 1728852 0.0 1.0000 1.0000 0.9952 1.0000 1.0000 1.0000 0.9952
0.00399 1728679 0.0 1.0000 1.0000 0.9951 1.0000 1.0000 1.0000 0.9951
0.00409 1728506 0.0 1.0000 1.0000 0.9950 1.0000 1.0000 1.0000 0.9950
0.00419 1728333 0.0 1.0000 1.0000 0.9948 1.0000 1.0000 1.0000 0.9948
0.00429 1728160 0.0 1.0000 1.0000 0.9947 1.0000 1.0000 1.0000 0.9947
0.00439 1727987 0.0 1.0000 1.0000 0.9946 1.0000 1.0000 1.0000 0.9946
0.00449 1727814 0.0 1.0000 1.0000 0.9945 1.0000 1.0000 1.0000 0.9945
0.00459 1727641 0.0 1.0000 1.0000 0.9943 1.0000 1.0000 1.0000 0.9943
0.00468 1727468 0.0 1.0000 1.0000 0.9942 1.0000 1.0000 1.0000 0.9942
0.00478 1727295 0.0 1.0000 1.0000 0.9941 1.0000 1.0000 1.0000 0.9941
0.00488 1727122 0.0 1.0000 1.0000 0.9940 1.0000 1.0000 1.0000 0.9940
0.00498 1726949 0.0 1.0000 1.0000 0.9938 1.0000 1.0000 1.0000 0.9938
0.00508 1726776 0.0 1.0000 1.0000 0.9937 1.0000 1.0000 1.0000 0.9937
0.00518 1726603 0.0 1.0000 1.0000 0.9936 1.0000 1.0000 1.0000 0.9936
0.00528 1726430 0.0 1.0000 1.0000 0.9935 1.0000 1.0000 1.0000 0.9935
0.00538 1726257 0.0 1.0000 1.0000 0.9933 1.0000 1.0000 1.0000 0.9933
0.00548 1726084 0.0 1.0000 1.0000 0.9932 1.0000 1.0000 1.0000 0.9932
0.00558 1725911 0.0 1.0000 1.0000 0.9931 1.0000 1.0000 1.0000 0.9931
0.00568 1725738 0.0 1.0000 1.0000 0.9930 1.0000 1.0000 1.0000 0.9930
0.00578 1725565 0.0 1.0000 1.0000 0.9929 1.0000 1.0000 1.0000 0.9929
0.00588 1725392 0.0 1.0000 1.0000 0.9927 1.0000 1.0000 1.0000 0.9927
0.00598 1725219 0.0 1.0000 1.0000 0.9926 1.0000 1.0000 1.0000 0.9926
0.00608 1725046 0.0 1.0000 1.0000 0.9925 1.0000 1.0000 1.0000 0.9925
0.00618 1724873 0.0 1.0000 1.0000 0.9924 1.0000 1.0000 1.0000 0.9924
0.00628 1724700 0.0 1.0000 1.0000 0.9922 1.0000 1.0000 1.0000 0.9922
0.00638 1724527 0.0 1.0000 1.0000 0.9921 1.0000 1.0000 1.0000 0.9921
0.00648 1724354 0.0 1.0000 1.0000 0.9920 1.0000 1.0000 1.0000 0.9920
0.00658 1724181 0.0 1.0000 1.0000 0.9919 1.0000 1.0000 1.0000 0.9919
0.00668 1724008 0.0 1.0000 1.0000 0.9917 1.0000 1.0000 1.0000 0.9917
0.00678 1723835 0.0 1.0000 1.0000 0.9916 1.0000 1.0000 1.0000 0.9916
0.00688 1723662 0.0 1.0000 1.0000 0.9915 1.0000 1.0000 1.0000 0.9915
0.00698 1723489 0.0 1.0000 1.0000 0.9914 1.0000 1.0000 1.0000 0.9914
0.00708 1723316 0.0 1.0000 1.0000 0.9913 1.0000 1.0000 1.0000 0.9913
0.00718 1723143 0.0 1.0000 1.0000 0.9911 1.0000 1.0000 1.0000 0.9911
0.00728 1722970 0.0 1.0000 1.0000 0.9910 1.0000 1.0000 1.0000 0.9910
0.00738 1722797 0.0 1.0000 1.0000 0.9909 1.0000 1.0000 1.0000 0.9909
0.00748 1722624 0.0 1.0000 1.0000 0.9908 1.0000 1.0000 1.0000 0.9908
0.00758 1722451 0.0 1.0000 1.0000 0.9906 1.0000 1.0000 1.0000 0.9906
0.00768 1722278 0.0 1.0000 1.0000 0.9905 1.0000 1.0000 1.0000 0.9905
0.00777 1722105 0.0 1.0000 1.0000 0.9904 1.0000 1.0000 1.0000 0.9904
0.00787 1721932 0.0 1.0000 1.0000 0.9903 1.0000 1.0000 1.0000 0.9903
0.00797 1721759 0.0 1.0000 1.0000 0.9901 1.0000 1.0000 1.0000 0.9901
0.00807 1721586 0.0 1.0000 1.0000 0.9900 1.0000 1.0000 1.0000 0.9900
0.00817 1721413 0.0 1.0000 1.0000 0.9899 1.0000 1.0000 1.0000 0.9899
0.00827 1721240 0.0 1.0000 1.0000 0.9898 1.0000 1.0000 1.0000 0.9898
0.00837 1721067 0.0 1.0000 1.0000 0.9897 1.0000 1.0000 1.0000 0.9897
0.00847 1720894 0.0 1.0000 1.0000 0.9895 1.0000 1.0000 1.0000 0.9895
0.00857 1720721 0.0 1.0000 1.0000 0.9894 1.0000 1.0000 1.0000 0.9894
0.00867 1720548 0.0 1.0000 1.0000 0.9893 1.0000 1.0000 1.0000 0.9893
0.00877 1720375 0.0 1.0000 1.0000 0.9892 1.0000 1.0000 1.0000 0.9892
0.00887 1720202 0.0 1.0000 1.0000 0.9890 1.0000 1.0000 1.0000 0.9890
0.00897 1720029 0.0 1.0000 1.0000 0.9889 1.0000 1.0000 1.0000 0.9889
0.00907 1719856 0.0 1.0000 1.0000 0.9888 1.0000 1.0000 1.0000 0.9888
0.00917 1719683 0.0 1.0000 1.0000 0.9887 1.0000 1.0000 1.0000 0.9887
0.00927 1719510 0.0 1.0000 1.0000 0.9885 1.0000 1.0000 1.0000 0.9885
0.00937 1719337 0.0 1.0000 1.0000 0.9884 1.0000 1.0000 1.0000 0.9884
0.00947 1719164 0.0 1.0000 1.0000 0.9883 1.0000 1.0000 1.0000 0.9883
0.00957 1718991 0.0 1.0000 1.0000 0.9882 1.0000 1.0000 1.0000 0.9882
0.00967 1718818 0.0 1.0000 1.0000 0.9881 1.0000 1.0000 1.0000 0.9881
0.00977 1718645 0.0 1.0000 1.0000 0.9879 1.0000 1.0000 1.0000 0.9879
0.00987 1718472 0.0 1.0000 1.0000 0.9878 1.0000 1.0000 1.0000 0.9878
0.00997 1718299 0.0 1.0000 1.0000 0.9877 1.0000 1.0000 1.0000 0.9877
0.01007 1718126 0.0 1.0000 1.0000 0.9876 1.0000 1.0000 1.0000 0.9876
0.01017 1717953 0.0 1.0000 1.0000 0.9874 1.0000 1.0000 1.0000 0.9874
0.01027 1717780 0.0 1.0000 1.0000 0.9873 1.0000 1.0000 1.0000 0.9873
0.01037 1717607 0.0 1.0000 1.0000 0.9872 1.0000 1.0000 1.0000 0.9872
0.01047 1717434 0.0 1.0000 1.0000 0.9871 1.0000 1.0000 1.0000 0.9871
0.01057 1717261 0.0 1.0000 1.0000 0.9869 1.0000 1.0000 1.0000 0.9869
0.01067 1717088 0.0 1.0000 1.0000 0.9868 1.0000 1.0000 1.0000 0.9868
0.01077 1716915 0.0 1.0000 1.0000 0.9867 1.0000 1.0000 1.0000 0.9867
0.01086 1716742 0.0 1.0000 1.0000 0.9866 1.0000 1.0000 1.0000 0.9866
0.01096 1716569 0.0 1.0000 1.0000 0.9865 1.0000 1.0000 1.0000 0.9865
0.01106 1716396 0.0 1.0000 1.0000 0.9863 1.0000 1.0000 1.0000 0.9863
0.01116 1716223 0.0 1.0000 1.0000 0.9862 1.0000 1.0000 1.0000 0.9862
0.01126 1716050 0.0 1.0000 1.0000 0.9861 1.0000 1.0000 1.0000 0.9861
0.01136 1715877 0.0 1.0000 1.0000 0.9860 1.0000 1.0000 1.0000 0.9860
0.01146 1715704 0.0 1.0000 1.0000 0.9858 1.0000 1.0000 1.0000 0.9858
0.01156 1715531 0.0 1.0000 1.0000 0.9857 1.0000 1.0000 1.0000 0.9857
0.01166 1715358 0.0 1.0000 1.0000 0.9856 1.0000 1.0000 1.0000 0.9856
0.01176 1715185 0.0 1.0000 1.0000 0.9855 1.0000 1.0000 1.0000 0.9855
0.01186 1715012 0.0 1.0000 1.0000 0.9853 1.0000 1.0000 1.0000 0.9853
0.01196 1714839 0.0 1.0000 1.0000 0.9852 1.0000 1.0000 1.0000 0.9852
0.01206 1714666 0.0 1.0000 1.0000 0.9851 1.0000 1.0000 1.0000 0.9851
0.01216 1714493 0.0 1.0000 1.0000 0.9850 1.0000 1.0000 1.0000 0.9850
0.01226 1714320 0.0 1.0000 1.0000 0.9849 1.0000 1.0000 1.0000 0.9849
0.01236 1714147 0.0 1.0000 1.0000 0.9847 1.0000 1.0000 1.0000 0.9847
0.01246 1713974 0.0 1.0000 1.0000 0.9846 1.0000 1.0000 1.0000 0.9846
0.01256 1713801 0.0 1.0000 1.0000 0.9845 1.0000 1.0000 1.0000 0.9845
0.01266 1713628 0.0 1.0000 1.0000 0.9844 1.0000 1.0000 1.0000 0.9844
0.01276 1713455 0.0 1.0000 1.0000 0.9842 1.0000 1.0000 1.0000 0.9842
0.01286 1713282 0.0 1.0000 1.0000 0.9841 1.0000 1.0000 1.0000 0.9841
0.01296 1713109 0.0 1.0000 1.0000 0.9840 1.0000 1.0000 1.0000 0.9840
0.01306 1712936 0.0 1.0000 1.0000 0.9839 1.0000 1.0000 1.0000 0.9839
0.01316 1712763 0.0 1.0000 1.0000 0.9837 1.0000 1.0000 1.0000 0.9837
0.01326 1712590 0.0 1.0000 1.0000 0.9836 1.0000 1.0000 1.0000 0.9836
0.01336 1712417 0.0 1.0000 1.0000 0.9835 1.0000 1.0000 1.0000 0.9835
0.01346 1712244 0.0 1.0000 1.0000 0.9834 1.0000 1.0000 1.0000 0.9834
0.01356 1712071 0.0 0.9999 1.0000 0.9832 0.9999 1.0000 1.0000 0.9832
0.01366 1711898 0.0 0.9999 1.0000 0.9831 0.9999 1.0000 1.0000 0.9831
0.01376 1711725 0.0 0.9999 1.0000 0.9830 0.9999 1.0000 1.0000 0.9830
0.01386 1711552 0.0 0.9999 1.0000 0.9829 0.9999 1.0000 1.0000 0.9829
0.01395 1711379 0.0 0.9999 1.0000 0.9828 0.9999 1.0000 1.0000 0.9828
0.01405 1711206 0.0 0.9999 1.0000 0.9826 0.9999 1.0000 1.0000 0.9826
0.01415 1711033 0.0 0.9999 1.0000 0.9825 0.9999 1.0000 1.0000 0.9825
0.01425 1710860 0.0 0.9999 1.0000 0.9824 0.9999 1.0000 1.0000 0.9824
0.01435 1710687 0.0 0.9999 1.0000 0.9823 0.9999 1.0000 1.0000 0.9823
0.01445 1710514 0.0 0.9999 1.0000 0.9821 0.9999 1.0000 1.0000 0.9821
0.01455 1710341 0.0 0.9999 1.0000 0.9820 0.9999 1.0000 1.0000 0.9820
0.01465 1710168 0.0 0.9999 1.0000 0.9819 0.9999 1.0000 1.0000 0.9819
0.01475 1709995 0.0 0.9999 1.0000 0.9818 0.9999 1.0000 1.0000 0.9818
0.01485 1709822 0.0 0.9999 1.0000 0.9816 0.9999 1.0000 1.0000 0.9816
0.01495 1709649 0.0 0.9999 1.0000 0.9815 0.9999 1.0000 1.0000 0.9815
0.01505 1709476 0.0 0.9999 1.0000 0.9814 0.9999 1.0000 1.0000 0.9814
0.01515 1709303 0.0 0.9999 1.0000 0.9813 0.9999 1.0000 1.0000 0.9813
0.01525 1709130 0.0 0.9999 1.0000 0.9812 0.9999 1.0000 1.0000 0.9812
0.01535 1708957 0.0 0.9999 1.0000 0.9810 0.9999 1.0000 1.0000 0.9810
0.01545 1708784 0.0 0.9999 1.0000 0.9809 0.9999 1.0000 1.0000 0.9809
0.01555 1708611 0.0 0.9999 1.0000 0.9808 0.9999 1.0000 1.0000 0.9808
0.01565 1708438 0.0 0.9999 1.0000 0.9807 0.9999 1.0000 1.0000 0.9807
0.01575 1708265 0.0 0.9999 1.0000 0.9805 0.9999 1.0000 1.0000 0.9805
0.01585 1708092 0.0 0.9999 1.0000 0.9804 0.9999 1.0000 1.0000 0.9804
0.01595 1707919 0.0 0.9999 1.0000 0.9803 0.9999 1.0000 1.0000 0.9803
0.01605 1707746 0.0 0.9999 1.0000 0.9802 0.9999 1.0000 1.0000 0.9802
0.01615 1707573 0.0 0.9999 1.0000 0.9800 0.9999 1.0000 1.0000 0.9800
0.01625 1707400 0.0 0.9999 1.0000 0.9799 0.9999 1.0000 1.0000 0.9799
0.01635 1707227 0.0 0.9999 1.0000 0.9798 0.9999 1.0000 1.0000 0.9798
0.01645 1707054 0.0 0.9999 1.0000 0.9797 0.9999 1.0000 1.0000 0.9797
0.01655 1706881 0.0 0.9999 1.0000 0.9796 0.9999 1.0000 1.0000 0.9796
0.01665 1706708 0.0 0.9999 1.0000 0.9794 0.9999 1.0000 1.0000 0.9794
0.01675 1706535 0.0 0.9999 1.0000 0.9793 0.9999 1.0000 1.0000 0.9793
0.01685 1706362 0.0 0.9999 1.0000 0.9792 0.9999 1.0000 1.0000 0.9792
0.01695 1706189 0.0 0.9999 1.0000 0.9791 0.9999 1.0000 1.0000 0.9791
0.01704 1706016 0.0 0.9999 1.0000 0.9789 0.9999 1.0000 1.0000 0.9789
0.01714 1705843 0.0 0.9999 1.0000 0.9788 0.9999 1.0000 1.0000 0.9788
0.01724 1705670 0.0 0.9999 1.0000 0.9787 0.9999 1.0000 1.0000 0.9787
0.01734 1705497 0.0 0.9999 1.0000 0.9786 0.9999 1.0000 1.0000 0.9786
0.01744 1705324 0.0 0.9999 1.0000 0.9784 0.9999 1.0000 1.0000 0.9784
0.01754 1705151 0.0 0.9999 1.0000 0.9783 0.9999 1.0000 1.0000 0.9783
0.01764 1704978 0.0 0.9999 1.0000 0.9782 0.9999 1.0000 1.0000 0.9782
0.01774 1704805 0.0 0.9999 1.0000 0.9781 0.9999 1.0000 1.0000 0.9781
0.01784 1704632 0.0 0.9999 1.0000 0.9780 0.9999 1.0000 1.0000 0.9780
0.01794 1704459 0.0 0.9999 1.0000 0.9778 0.9999 1.0000 1.0000 0.9778
0.01804 1704286 0.0 0.9999 1.0000 0.9777 0.9999 1.0000 1.0000 0.9777
0.01814 1704113 0.0 0.9999 1.0000 0.9776 0.9999 1.0000 1.0000 0.9776
0.01824 1703940 0.0 0.9999 1.0000 0.9775 0.9999 1.0000 1.0000 0.9775
0.01834 1703767 0.0 0.9999 1.0000 0.9773 0.9999 1.0000 1.0000 0.9773
0.01844 1703594 0.0 0.9999 1.0000 0.9772 0.9999 1.0000 1.0000 0.9772
0.01854 1703421 0.0 0.9999 1.0000 0.9771 0.9999 1.0000 1.0000 0.9771
0.01864 1703248 0.0 0.9999 1.0000 0.9770 0.9999 1.0000 1.0000 0.9770
0.01874 1703075 0.0 0.9999 1.0000 0.9768 0.9999 1.0000 1.0000 0.9768
0.01884 1702902 0.0 0.9999 1.0000 0.9767 0.9999 1.0000 1.0000 0.9767
0.01894 1702729 0.0 0.9999 1.0000 0.9766 0.9999 1.0000 1.0000 0.9766
0.01904 1702556 0.0 0.9999 1.0000 0.9765 0.9999 1.0000 1.0000 0.9765
0.01914 1702383 0.0 0.9999 1.0000 0.9764 0.9999 1.0000 1.0000 0.9764
0.01924 1702210 0.0 0.9999 1.0000 0.9762 0.9999 1.0000 1.0000 0.9762
0.01934 1702037 0.0 0.9999 1.0000 0.9761 0.9999 1.0000 1.0000 0.9761
0.01944 1701864 0.0 0.9999 1.0000 0.9760 0.9999 1.0000 1.0000 0.9760
0.01954 1701691 0.0 0.9999 1.0000 0.9759 0.9999 1.0000 1.0000 0.9759
0.01964 1701518 0.0 0.9999 1.0000 0.9757 0.9999 1.0000 1.0000 0.9757
0.01974 1701345 0.0 0.9999 1.0000 0.9756 0.9999 1.0000 1.0000 0.9756
0.01984 1701172 0.0 0.9999 1.0000 0.9755 0.9999 1.0000 1.0000 0.9755
0.01994 1700999 0.0 0.9999 1.0000 0.9754 0.9999 1.0000 1.0000 0.9754
0.02004 1700826 0.0 0.9999 1.0000 0.9752 0.9999 1.0000 1.0000 0.9752
0.02013 1700653 0.0 0.9999 1.0000 0.9751 0.9999 1.0000 1.0000 0.9751
0.02023 1700480 0.0 0.9999 1.0000 0.9750 0.9999 1.0000 1.0000 0.9750
0.02033 1700307 0.0 0.9999 1.0000 0.9749 0.9999 1.0000 1.0000 0.9749
0.02043 1700134 0.0 0.9999 1.0000 0.9748 0.9999 1.0000 1.0000 0.9748
0.02053 1699961 0.0 0.9999 1.0000 0.9746 0.9999 1.0000 1.0000 0.9746
0.02063 1699788 0.0 0.9999 1.0000 0.9745 0.9999 1.0000 1.0000 0.9745
0.02073 1699615 0.0 0.9999 1.0000 0.9744 0.9999 1.0000 1.0000 0.9744
0.02083 1699442 0.0 0.9999 1.0000 0.9743 0.9999 1.0000 1.0000 0.9743
0.02093 1699269 0.0 0.9999 1.0000 0.9741 0.9999 1.0000 1.0000 0.9741
0.02103 1699096 0.0 0.9999 1.0000 0.9740 0.9999 1.0000 1.0000 0.9740
0.02113 1698923 0.0 0.9999 1.0000 0.9739 0.9999 1.0000 1.0000 0.9739
0.02123 1698750 0.0 0.9999 1.0000 0.9738 0.9999 1.0000 1.0000 0.9738
0.02133 1698577 0.0 0.9999 1.0000 0.9736 0.9999 1.0000 1.0000 0.9736
0.02143 1698404 0.0 0.9999 1.0000 0.9735 0.9999 1.0000 1.0000 0.9735
0.02153 1698231 0.0 0.9999 1.0000 0.9734 0.9999 1.0000 1.0000 0.9734
0.02163 1698058 0.0 0.9999 1.0000 0.9733 0.9999 1.0000 1.0000 0.9733
0.02173 1697885 0.0 0.9999 1.0000 0.9732 0.9999 1.0000 1.0000 0.9732
0.02183 1697712 0.0 0.9999 1.0000 0.9730 0.9999 1.0000 1.0000 0.9730
0.02193 1697539 0.0 0.9999 1.0000 0.9729 0.9999 1.0000 1.0000 0.9729
