"number" "dsum" "count" "missing" "quant_error" "fname"
0 55196.0 55196 3939374 0.0 "X:\Projects\bird_flu_surveillance\species\1001_Botaurus_poiciloptilus.tif"
2 9751.0 9751 3984819 0.0 "X:\Projects\bird_flu_surveillance\species\1012_Fregata_ariel.tif"
3 5008.0 5008 3989562 0.0 "X:\Projects\bird_flu_surveillance\species\1013_Fregata_minor.tif"
4 1941.0 1941 3992629 0.0 "X:\Projects\bird_flu_surveillance\species\1014_Phaethon_lepturus.tif"
5 17.0 17 3994553 0.0 "X:\Projects\bird_flu_surveillance\species\1016_Pelagodroma_marina.tif"
7 5.0 5 3994565 0.0 "X:\Projects\bird_flu_surveillance\species\1018_Pelecanoides_urinatrix.tif"
9 5.0 5 3994565 0.0 "X:\Projects\bird_flu_surveillance\species\1021_Sula_dactylatra.tif"
10 945.0 945 3993625 0.0 "X:\Projects\bird_flu_surveillance\species\1022_Sula_leucogaster.tif"
11 416.0 416 3994154 0.0 "X:\Projects\bird_flu_surveillance\species\1023_Sula_sula.tif"
12 3.0 3 3994567 0.0 "X:\Projects\bird_flu_surveillance\species\1025_Puffinus_huttoni.tif"
14 51.0 51 3994519 0.0 "X:\Projects\bird_flu_surveillance\species\1035_Pterodroma_macroptera.tif"
15 4.0 4 3994566 0.0 "X:\Projects\bird_flu_surveillance\species\1036_Pterodroma_mollis.tif"
16 4.0 4 3994566 0.0 "X:\Projects\bird_flu_surveillance\species\1038_Pterodroma_nigripennis.tif"
17 4.0 4 3994566 0.0 "X:\Projects\bird_flu_surveillance\species\1040_Pterodroma_solandri.tif"
22 1479.0 1479 3993091 0.0 "X:\Projects\bird_flu_surveillance\species\1060_Macronectes_giganteus.tif"
23 5552.0 5552 3989018 0.0 "X:\Projects\bird_flu_surveillance\species\1061_Macronectes_halli.tif"
26 8269.0 8269 3986301 0.0 "X:\Projects\bird_flu_surveillance\species\1066_Pachyptila_turtur.tif"
27 1276.0 1276 3993294 0.0 "X:\Projects\bird_flu_surveillance\species\1075_Phoebetria_fusca.tif"
29 1699.0 1699 3992871 0.0 "X:\Projects\bird_flu_surveillance\species\1077_Calonectris_leucomelas.tif"
31 42009.0 42009 3952561 0.0 "X:\Projects\bird_flu_surveillance\species\108_Pseudomys_australis.tif"
33 108.0 108 3994462 0.0 "X:\Projects\bird_flu_surveillance\species\1085_Eudyptula_minor.tif"
36 11.0 11 3994559 0.0 "X:\Projects\bird_flu_surveillance\species\113_Pseudomys_fieldi.tif"
37 347.0 347 3994223 0.0 "X:\Projects\bird_flu_surveillance\species\123_Notomys_aquilo.tif"
38 48820.0 48820 3945750 0.0 "X:\Projects\bird_flu_surveillance\species\125_Notomys_fuscus.tif"
39 4231.0 4231 3990339 0.0 "X:\Projects\bird_flu_surveillance\species\132_Conilurus_penicillatus.tif"
40 226.0 226 3994344 0.0 "X:\Projects\bird_flu_surveillance\species\137_Leporillus_conditor.tif"
41 117514. 117514 3877056 0.0 "X:\Projects\bird_flu_surveillance\species\174_Macroderma_gigas.tif"
42 27496.0 27496 3967074 0.0 "X:\Projects\bird_flu_surveillance\species\183_Chalinolobus_dwyeri.tif"
43 9836.0 9836 3984734 0.0 "X:\Projects\bird_flu_surveillance\species\185_Pteropus_conspicillatus.tif"
44 65623.0 65623 3928947 0.0 "X:\Projects\bird_flu_surveillance\species\186_Pteropus_poliocephalus.tif"
45 6.0 6 3994564 0.0 "X:\Projects\bird_flu_surveillance\species\198_Lasiorhinus_krefftii.tif"
46 663.0 663 3993907 0.0 "X:\Projects\bird_flu_surveillance\species\20_Arctocephalus_forsteri.tif"
47 282.0 282 3994288 0.0 "X:\Projects\bird_flu_surveillance\species\21_Arctocephalus_pusillus.tif"
48 134.0 134 3994436 0.0 "X:\Projects\bird_flu_surveillance\species\214_Bettongia_tropica.tif"
49 1649.0 1649 3992921 0.0 "X:\Projects\bird_flu_surveillance\species\217_Potorous_longipes.tif"
50 2005.0 2005 3992565 0.0 "X:\Projects\bird_flu_surveillance\species\22_Neophoca_cinerea.tif"
51 9875.0 9875 3984695 0.0 "X:\Projects\bird_flu_surveillance\species\225_Petrogale_penicillata.tif"
52 98.0 98 3994472 0.0 "X:\Projects\bird_flu_surveillance\species\226_Petrogale_persephone.tif"
53 3345.0 3345 3991225 0.0 "X:\Projects\bird_flu_surveillance\species\229_Setonix_brachyurus.tif"
54 517.0 517 3994053 0.0 "X:\Projects\bird_flu_surveillance\species\239_Onychogalea_fraenata.tif"
55 81740.0 81740 3912830 0.0 "X:\Projects\bird_flu_surveillance\species\254_Petauroides_volans.tif"
56 2625.0 2625 3991945 0.0 "X:\Projects\bird_flu_surveillance\species\25545_Pluvialis_fulva.tif"
58 456.0 456 3994114 0.0 "X:\Projects\bird_flu_surveillance\species\25906_Zyzomys_maini.tif"
59 40.0 40 3994530 0.0 "X:\Projects\bird_flu_surveillance\species\25907_Zyzomys_palatalis.tif"
61 3301.0 3301 3991269 0.0 "X:\Projects\bird_flu_surveillance\species\25911_Pseudocheirus_occidentalis.tif"
62 4599.0 4599 3989971 0.0 "X:\Projects\bird_flu_surveillance\species\25977_Ceyx_azureus_diemenensis.tif"
63 3219.0 3219 3991351 0.0 "X:\Projects\bird_flu_surveillance\species\25978_Cereopsis_novaehollandiae_grisea.tif"
64 5711.0 5711 3988859 0.0 "X:\Projects\bird_flu_surveillance\species\25982_Calyptorhynchus_banksii_graptogyne.tif"
65 4234.0 4234 3990336 0.0 "X:\Projects\bird_flu_surveillance\species\25986_Casuarius_casuarius.tif"
66 4.0 4 3994566 0.0 "X:\Projects\bird_flu_surveillance\species\25994_Strepera_graculina_crissalis.tif"
68 48.0 48 3994522 0.0 "X:\Projects\bird_flu_surveillance\species\26000_Anous_tenuirostris_melanops.tif"
69 1112.0 1112 3993458 0.0 "X:\Projects\bird_flu_surveillance\species\26001_Amytornis_striatus_striatus.tif"
70 148.0 148 3994422 0.0 "X:\Projects\bird_flu_surveillance\species\26004_Malurus_leucopterus_leucopterus.tif"
71 92.0 92 3994478 0.0 "X:\Projects\bird_flu_surveillance\species\26005_Stipiturus_malachurus_intermedius.tif"
72 437.0 437 3994133 0.0 "X:\Projects\bird_flu_surveillance\species\26006_Stipiturus_malachurus_parimeda.tif"
73 4.0 4 3994566 0.0 "X:\Projects\bird_flu_surveillance\species\26011_Lichenostomus_melanops_cassidix.tif"
74 97512.0 97512 3897058 0.0 "X:\Projects\bird_flu_surveillance\species\26013_Falcunculus_frontatus_whitei.tif"
76 90311.0 90311 3904259 0.0 "X:\Projects\bird_flu_surveillance\species\26027_Neochmia_ruficauda_ruficauda.tif"
77 77341.0 77341 3917229 0.0 "X:\Projects\bird_flu_surveillance\species\26048_Tyto_novaehollandiae_kimberli.tif"
78 1318.0 1318 3993252 0.0 "X:\Projects\bird_flu_surveillance\species\26049_Tyto_novaehollandiae_melvillensis.tif"
80 50.0 50 3994520 0.0 "X:\Projects\bird_flu_surveillance\species\26194_Malurus_leucopterus_edouardi.tif"
81 214.0 214 3994356 0.0 "X:\Projects\bird_flu_surveillance\species\267_Burramys_parvus.tif"
82 403.0 403 3994167 0.0 "X:\Projects\bird_flu_surveillance\species\26775_Petaurus_gracilis.tif"
83 956.0 956 3993614 0.0 "X:\Projects\bird_flu_surveillance\species\273_Gymnobelideus_leadbeateri.tif"
84 239.0 239 3994331 0.0 "X:\Projects\bird_flu_surveillance\species\274_Hemibelideus_lemuroides.tif"
85 526.0 526 3994044 0.0 "X:\Projects\bird_flu_surveillance\species\278_Perameles_bougainville.tif"
86 6762.0 6762 3987808 0.0 "X:\Projects\bird_flu_surveillance\species\28_Dugong_dugon.tif"
87 109067. 109067 3885503 0.0 "X:\Projects\bird_flu_surveillance\species\282_Macrotis_lagotis.tif"
88 18314.0 18314 3976256 0.0 "X:\Projects\bird_flu_surveillance\species\291_Sminthopsis_psammophila.tif"
89 1592.0 1592 3992978 0.0 "X:\Projects\bird_flu_surveillance\species\294_Myrmecobius_fasciatus.tif"
90 17605.0 17605 3976965 0.0 "X:\Projects\bird_flu_surveillance\species\299_Sarcophilus_harrisii.tif"
91 1562.0 1562 3993008 0.0 "X:\Projects\bird_flu_surveillance\species\302_Sminthopsis_butleri.tif"
92 5818.0 5818 3988752 0.0 "X:\Projects\bird_flu_surveillance\species\305_Sminthopsis_douglasi.tif"
93 5431.0 5431 3989139 0.0 "X:\Projects\bird_flu_surveillance\species\313_Parantechinus_apicalis.tif"
94 17956.0 17956 3976614 0.0 "X:\Projects\bird_flu_surveillance\species\316_Phascogale_calura.tif"
95 5040.0 5040 3989530 0.0 "X:\Projects\bird_flu_surveillance\species\329_Dasyuroides_byrnei.tif"
96 26481.0 26481 3968089 0.0 "X:\Projects\bird_flu_surveillance\species\330_Dasyurus_geoffroii.tif"
97 211242. 211242 3783328 0.0 "X:\Projects\bird_flu_surveillance\species\331_Dasyurus_hallucatus.tif"
98 4050.0 4050 3990520 0.0 "X:\Projects\bird_flu_surveillance\species\333_Dasyurus_viverrinus.tif"
99 418.0 418 3994152 0.0 "X:\Projects\bird_flu_surveillance\species\34_Balaenoptera_borealis.tif"
100 19888.0 19888 3974682 0.0 "X:\Projects\bird_flu_surveillance\species\344_Antechinus_bellus.tif"
