"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 1735599 2.20447e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00010 1735426 2.19618e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00020 1735253 2.18539e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00030 1735080 2.18378e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00040 1734907 2.1834e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00050 1734734 2.18299e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00060 1734561 2.18264e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00070 1734388 2.18231e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00080 1734215 2.18197e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00090 1734042 2.18165e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00100 1733869 2.1813e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00110 1733696 2.18099e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00120 1733523 2.18069e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00130 1733350 2.18037e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00140 1733177 2.18007e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00150 1733004 2.17978e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00159 1732831 2.17949e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00169 1732658 2.17919e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
